"Country","Total_deaths","Population","Deaths_million"
"AFG",7849,"41128771",190.839643615901
"AGO",1930,"35588987",54.2302594901057
"ALB",3595,"2777689",1294.24136395399
"AND",165,"79824",2067.04750450992
"ARE",2348,"9441129",248.699069782862
"ARG",130124,"46234830",2814.41502001846
"ARM",8716,"2780469",3134.72295501227
"ATG",146,"93763",1557.11741305206
"AUS",17052,"26005540",655.706437935917
"AUT",21443,"9041851",2371.52768830188
"AZE",10008,"10141756",986.811356928721
"BDI",38,"12889576",2.94811869684464
"BEL",33228,"11685814",2843.44761948119
"BEN",163,"13352864",12.2071190120711
"BFA",395,"22673762",17.4210172974383
"BGD",29440,"171186372",171.976306618613
"BGR",38108,"6465097",5894.42045494445
"BHR",1539,"1472233",1045.35083780896
"BHS",833,"409984",2031.78660630659
"BIH",16227,"3233526",5018.36076159586
"BLR",7118,"9228071",771.342136400988
"BLZ",688,"405272",1697.62529856491
"BOL",22305,"12224110",1824.67271645952
"BRA",693853,"215313498",3222.52439556762
"BRB",568,"281635",2016.79478757967
"BRN",225,"449002",501.11135362426
"BTN",21,"782455",26.8386041369791
"BWA",2794,"2630296",1062.23786220258
"CAF",113,"5579144",20.2540031230597
"CAN",49240,"38929902",1264.83750203122
"CHE",14174,"8775760",1615.13076930089
"CHL",63200,"19603733",3223.8757791692
"CHN",17167,"1412175000",12.1564253722095
"CIV",831,"28160542",29.5093752101788
"CMR",1965,"27914536",70.3934322963491
"COD",1462,"99010212",14.7661536165583
"COG",386,"5970424",64.6520247138227
"COL",141881,"51874024",2735.10688123983
"COM",161,"836774",192.405595776159
"CPV",412,"593149",694.59781606308
"CRI",9072,"5180829",1751.07111236445
"CUB",8530,"11212191",760.779048448247
"CYP",1258,"1251488",1005.20340586566
"CZE",42134,"10672118",3948.0448023532
"DEU",161465,"83797985",1926.83630757947
"DJI",189,"1120849",168.622178366577
"DMA",74,"72737",1017.36392757469
"DNK",7807,"5903037",1322.53956734474
"DOM",4384,"11228821",390.423892232319
"DZA",6881,"44903225",153.240663671707
"ECU",35940,"18001000",1996.55574690295
"EGY",24801,"110990103",223.452355927627
"ERI",103,"3684032",27.9584976460574
"ESP",117095,"47778340",2450.79674178718
"EST",2854,"1348840",2115.89217401619
"ETH",7572,"123379924",61.3714107977567
"FIN",7933,"5556106",1427.79853372128
"FJI",881,"929766",947.55024382479
"FRA",163003,"67971311",2398.11469871458
"GAB",306,"2388992",128.087494642092
"GBR",217175,"66971395",3242.80239346963
"GEO",16897,"3712502",4551.37801945965
"GHA",1461,"33475870",43.6433765575025
"GIN",466,"13859341",33.6235323165798
"GMB",372,"2705992",137.472690237074
"GNB",176,"2105566",83.5879758696712
"GNQ",183,"1674908",109.259732474858
"GRC",34779,"10426919",3335.50111974592
"GRD",238,"125438",1897.35167971428
"GTM",20002,"17357886",1152.329264059
"GUY",1286,"808726",1590.15538019057
"HND",11071,"10432860",1061.16635323392
"HRV",17607,"3855600",4566.6044195456
"HTI",860,"11584996",74.2339488075784
"HUN",48495,"9643048",5029.01157393388
"IDN",160619,"275501339",583.006240851701
"IND",530707,"1417173173",374.482815587422
"IRL",8293,"5127170",1617.46148460067
"IRN",144688,"88550570",1633.95899089074
"IRQ",25373,"44496122",570.229468536606
"ISL",229,"382003",599.471731897394
"ISR",12047,"9557500",1260.47606591682
"ITA",184642,"58940425",3132.68864281179
"JAM",3461,"2827377",1224.10276379839
"JOR",14122,"11285869",1251.29930180831
"JPN",57521,"125124989",459.708332122211
"KAZ",19057,"19621972",971.207175303277
"KEN",5688,"54027487",105.279743994015
"KGZ",2991,"6974900",428.823352306126
"KHM",3056,"16767842",182.253625719994
"KIR",13,"131232",99.0612045842477
"KNA",46,"47657",965.230711123235
"KOR",32272,"51628117",625.085745428213
"KWT",2570,"4268873",602.032433384643
"LAO",758,"7529475",100.671029520651
"LBN",10746,"5489739",1957.4701092347
"LBR",294,"5302681",55.4436519941516
"LBY",6437,"6812341",944.902787455883
"LCA",409,"179857",2274.02881177825
"LIE",88,"39327",2237.64843491749
"LKA",16817,"22181000",758.171407961769
"LSO",706,"2305825",306.181084861167
"LTU",9481,"2831639",3348.23754016667
"LUX",1178,"653103",1803.69711974987
"LVA",6161,"1879383",3278.20353807606
"MAR",16295,"37457971",435.020893149818
"MCO",65,"36469",1782.33568236036
"MDA",11933,"2538894",4700.07806548836
"MDG",1416,"29611714",47.8189138257921
"MDV",311,"523787",593.752804097849
"MEX",331099,"127504125",2596.77088878497
"MHL",17,"41569",408.958598955953
"MKD",9614,"2057679",4672.25451588902
"MLI",743,"22593590",32.8854334348813
"MLT",817,"531113",1538.27904796154
"MMR",19490,"54179306",359.731444326732
"MNE",2791,"617213",4521.93975175507
"MNG",2136,"3398366",628.537361779161
"MOZ",2230,"32969518",67.6382348082856
"MRT",997,"4736139",210.509024333956
"MUS",1041,"1262523",824.539434133081
"MWI",2685,"20405317",131.583351535289
"MYS",36857,"33938221",1086.00271063118
"NAM",4082,"2567012",1590.1756594827
"NER",314,"26207977",11.9810849956103
"NGA",3155,"218541212",14.4366363265158
"NIC",245,"6948392",35.2599565482201
"NLD",23697,"17700982",1338.73928576392
"NOR",4670,"5457127",855.761648940917
"NPL",12019,"30547580",393.451788979683
"NRU",1,"12668",78.9390590464162
"NZL",2332,"5124100",455.104311000956
"OMN",4628,"4576298",1011.29777824783
"PAK",30636,"235824862",129.909966829536
"PAN",8567,"4408581",1943.25566435096
"PER",218232,"34049588",6409.24054646417
"PHL",65397,"115559009",565.918664117308
"PLW",9,"18055",498.476876211576
"PNG",669,"10142619",65.9592951288025
"POL",118533,"36821749",3219.10292745736
"PRK",6,"26069416",0.230154752987179
"PRT",25714,"10409704",2470.19511793995
"PRY",19688,"6780744",2903.51619232344
"PSE",5708,"5043612",1131.72861036892
"QAT",685,"2695122",254.162891327368
"ROU",67374,"19047009",3537.24828921958
"RUS",385839,"144236933",2675.03608108473
"RWA",1467,"13776698",106.484151717632
"SAU",9520,"36408820",261.475104109389
"SDN",4994,"46874204",106.540475866001
"SEN",1968,"17316449",113.649166754685
"SGP",1711,"5637022",303.529061976341
"SLB",153,"724273",211.246311818886
"SLE",126,"8605718",14.6414279436068
"SLV",4230,"6336392",667.572334539909
"SMR",121,"33660",3594.77124183007
"SOM",1361,"17597511",77.3404829808034
"SRB",17526,"6664449",2629.77479458542
"SSD",138,"10913164",12.6452786744522
"STP",77,"227380",338.64016184361
"SUR",1398,"618040",2261.98951524173
"SVK",20823,"5431752",3833.56972115074
"SVN",7012,"2111986",3320.09776579958
"SWE",21827,"10486941",2081.35051012493
"SWZ",1422,"1201670",1183.35316684281
"SYC",172,"119878",1434.79203857255
"SYR",3163,"22125249",142.958843084659
"TCD",194,"17723315",10.946033515739
"TGO",290,"8848699",32.7731794244555
"THA",33669,"71697030",469.601042051533
"TJK",125,"9952787",12.5592962051735
"TLS",138,"1341296",102.885567391538
"TON",12,"106858",112.298564450018
"TTO",4283,"1531044",2797.4375654782
"TUN",29284,"12356117",2370.00021932457
"TUR",101492,"84979913",1194.30576494
"TUV",0,"11312",0
"TWN",15273,"23349666",654.099292041265
"TZA",845,"65497748",12.9012069239388
"UGA",3630,"47249585",76.826071594068
"UKR",118689,"3.8e+07",3123.39473684211
"URY",7562,"3422794",2209.30619838646
"USA",1092779,"333287557",3278.78727257736
"UZB",1637,"35648100",45.9211009843442
"VCT",119,"103948",1144.80317081618
"VEN",5832,"28301696",206.065389155477
"VNM",43186,"98186856",439.834838993113
"VUT",14,"326740",42.8475240252188
"WSM",29,"222382",130.406237914939
"YEM",2159,"33696614",64.0717194908664
"ZAF",102568,"59893885",1712.4953574142
"ZMB",4024,"20017675",201.022346501279
"ZWE",5637,"16320537",345.393046809673
